Designation,Payout,Location,Eligibility criteria,Company name
Urgent Opening For Tele sales | sales manager | senior sales | AD | VP,2-7 Lacs PA,"Noida(Noida Extension), Ghaziabad, Greater Noida",Great opportunity for freshers to start their career in sales profile. . Good communic...,Propshop
Inside Sales Assoc Manager-Intelligent Sales and Customer Operations,Not disclosed,Gurugram,Qualifications:Any Graduation Skill required:Inside Sales - Customer Acquisition Strate...,Accenture
Sales / Business Development Executive - oCode Technologies,Not disclosed,Mohali,Schedule: . Day shift Should have undergone training in online marketing or sales and m...,Ocode Tech
Sales Executive / Business Development Executive,1.75-2.5 Lacs PA,Pune(Pisoli),. Are available for full time (Field Sales)Preferred candidate profile Should have bike,
"Sales Executive, Business development Executive",Not disclosed,Rajkot,Job Role:The Lead Generation Executive/BDE is responsible for sourcing potential leads ...,
Business Development Manager (Inside Sales),Not disclosed,Bengaluru(HSR Layout +1),"Assisting the client to visit the site and taking them for an office tour, showing our ...",CRE Spacez
Business Development Manager (Sponsorship / Enterprise Sales),12-17 Lacs PA,"Hybrid - Mumbai, Mumbai Suburban, Mumbai (All Areas)",Preferred candidate profile Should have achieved a revenue target of INR 8+ crore annua...,
Sr. Executive | Assistant Manager | Ad sales | Nashik,4-6 Lacs PA,Nashik,EDUCATION AND EXPERIENCE: . Bachelors Degree is a mustMBA marketing would be preferredS...,Dainik Bhaskar Group
Technology Consulting-DP Sales/BD Senior Manager,Not disclosed,Gurugram,Effectively follow the internal compliance and quality processes . Should have understa...,KPMG India
Regional Sales Manager,Not disclosed,"Bengaluru, Delhi / NCR",Candidate must have the ability and mindset to sell PUSH products in an extremely compe...,Lipi
Business Development Manager/Executive - Export Sales Language Speaker,7-12 Lacs PA,Pune(Vishrantwadi),"Location: Pune, Vishrantwadi (Office Based). Salary: 7, 00, 000 - 12, 00, 000 P.A + Com...",Multibrands International
Business Development Manager/Sales Executive(Paints & Chemicals),3-6 Lacs PA,"Jharsuguda, Raipur","Build strong relationships with customers, contractors, government agencies, and other ...",
"Senior Engineer/Assistant Manager-Sales, Jaipur @Kone Elevators",Not disclosed,Jaipur," Position: - Senior Engineer/ Assistant Manager, SalesJob Location: - Jaipur, Rajasthan...",Kone
Business Development Manager (Affiliate and Ad-sales),Not disclosed,Remote,Responsibilities : 1. Day to day management and optimization of Mobile Marketing campai...,
Business Development Manager | Inside Sales | Mumbai,3.5-7 Lacs PA,"Thane, Bhiwandi, Mumbai (All Areas)","Help students select the right course. Drive sales through warm calling, engagement of ...",
General Manager/DGM -Sales & Marketing,Not disclosed,"Mumbai, Surat",Industry Experience,
Sales Manager,Not disclosed,Mumbai,"Present sales, revenue and expenses reports and realistic forecasts to the management t...",IHG Hotels & Resorts
Asst. Area Sales Manager (AASM) - Retail Sales || Ambala,5-12 Lacs PA,Ambala,Collaborate with other departments to resolve customer complaints and improve overall s...,Berger Paints
Area Manager-Channel sales-Bangalore,"50,000-3 Lacs PA",Bengaluru,Experience: 5-10 Years . Job Responsibility: . .,2coms
Meeting & Events - Sales Manager,Not disclosed,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",Should be proactive and Take responsibility of his / her file from start to endExperien...,FCM Travel
